block_start,block_end,average_distance
1,2,0.22847763671875
2,3,0.20391669921875
3,4,0.21636650390625
4,5,0.2295533203125
5,6,0.21790966796875
6,7,0.21154072265625
7,8,0.2128375
8,9,0.202777978515625
9,10,0.198668017578125
10,11,0.18683701171875
11,12,0.1844998046875
12,13,0.199275146484375
13,14,0.19073974609375
14,15,0.181182861328125
15,16,0.179294140625
16,17,0.1692826171875
17,18,0.155740478515625
18,19,0.133799609375
19,20,0.1187171875
20,21,0.115198876953125
21,22,0.11123857421875
22,23,0.10249306640625
23,24,0.09449326171875
24,25,0.092307470703125
25,26,0.086307666015625
26,27,0.0858501953125
27,28,0.097902685546875
28,29,0.097228515625
29,30,0.113094970703125
30,31,0.15834951171875
31,32,0.3070091796875
